candidate_id,image_file,timestamp,frame_idx,role,selection_mode,debug_sample_idx,production_sample_idx,score,prep_score,launch_score,opponent_ready_score,dominance_ratio,episode_start_timestamp,episode_peak_timestamp,episode_end_timestamp,crouch_score,reach_score,serve_score,upper_body_score,footwork_score,ready_pair_score,pre_ready_mean,pre_live_peak,server_action_score,server_peak_score,server_growth_score,server_peak_delay_sec,receiver_peak_score,live_peak_score
1,candidate_0001_0003.670s_roleB.jpg,3.670333,220,B,sandwich,109,109,0.741032,0.912056,0.373471,0.564031,2.489807,3.670333,3.770433,4.004000,1.000000,0.768568,0.240784,0.324323,0.081114,0.562318,0.487222,0.478425,0.324323,1.000000,0.675677,0.233567,0.604861,0.988472
2,candidate_0002_0010.210s_roleB.jpg,10.210200,612,B,sandwich,305,305,0.723952,0.899774,0.359386,0.515370,2.395907,10.210200,10.310300,10.477134,0.939830,0.834420,0.176601,0.221064,0.270977,0.511236,0.432643,0.882257,0.221064,1.000000,0.778936,0.100100,0.902312,0.905586
3,candidate_0003_0020.254s_roleA.jpg,20.253567,1214,A,sandwich,606,606,0.665320,0.853240,0.349280,0.295164,2.328532,20.253567,20.487133,20.954268,1.000000,0.613788,0.247786,0.303834,0.235622,0.295164,0.302132,0.759388,0.303834,1.000000,0.696166,0.233566,0.920000,0.856561
4,candidate_0004_0025.158s_roleA.jpg,25.158466,1508,A,sandwich,753,753,0.650917,0.829333,0.342722,0.315757,2.284811,25.158466,25.291933,25.759068,0.945005,0.640604,0.192385,0.268028,0.423917,0.317030,0.280512,0.568482,0.330656,0.664215,0.333559,0.133467,0.338425,0.842054
5,candidate_0005_0043.377s_roleB.jpg,43.376667,2600,B,sandwich,1299,1299,0.757556,0.952901,0.345349,0.540132,2.302330,43.376667,43.476768,43.710335,1.000000,0.876055,0.124216,0.187402,0.329582,0.537447,0.533789,0.451478,0.257074,1.000000,0.742926,0.200199,0.618852,0.876225
6,candidate_0006_0054.288s_roleB.jpg,54.287567,3254,B,sandwich,1626,1626,0.766581,0.943132,0.400481,0.557178,2.669873,54.287567,54.387665,54.654598,1.000000,0.850348,0.233184,0.271586,0.286440,0.551998,0.551508,0.568202,0.271586,1.000000,0.728414,0.100098,0.601746,0.987501
7,candidate_0007_0081.581s_roleB.jpg,81.581497,4890,B,sandwich,2444,2444,0.753573,0.948782,0.353146,0.513314,2.354306,81.581497,81.648232,81.881798,1.000000,0.865216,0.130111,0.171917,0.439087,0.505892,0.511065,0.405091,0.342488,1.000000,0.657512,0.100105,0.433397,0.954831
8,candidate_0008_0092.259s_roleB.jpg,92.258835,5530,B,sandwich,2764,2764,0.741765,0.924006,0.359738,0.533865,2.398252,92.258835,92.459030,92.592499,1.000000,0.800015,0.182856,0.223484,0.327520,0.539702,0.510289,0.448174,0.255466,1.000000,0.744534,0.200195,0.630272,0.918661
9,candidate_0009_0104.204s_roleA.jpg,104.204102,6246,A,sandwich,3122,3122,0.678432,0.860294,0.371596,0.322174,2.477305,104.204102,104.370934,104.537766,1.000000,0.632351,0.278955,0.339355,0.201070,0.319769,0.302769,0.307267,0.339355,1.000000,0.660645,0.166832,0.920000,0.993257
10,candidate_0010_0125.659s_roleB.jpg,125.658867,7532,B,sandwich,3765,3765,0.750590,0.865476,0.597055,0.444935,1.381054,125.658867,125.725601,125.925797,0.871775,0.855198,0.485441,0.548893,0.550286,0.389166,0.179994,0.728361,0.548893,0.933306,0.384413,0.100098,1.000000,1.000000
11,candidate_0011_0135.836s_roleB.jpg,135.835693,8142,B,sandwich,4070,4070,0.730515,0.916807,0.352257,0.493471,2.348382,135.835693,136.002533,136.136002,1.000000,0.781071,0.184588,0.221185,0.296879,0.493519,0.499321,0.810634,0.231565,1.000000,0.768435,0.166840,0.764467,0.977710
12,candidate_0012_0145.145s_roleB.jpg,145.145004,8700,B,sandwich,4349,4349,0.710240,0.892952,0.351052,0.454151,2.340345,145.145004,145.311829,145.578766,1.000000,0.718296,0.217551,0.276187,0.183422,0.457753,0.459445,0.564841,0.276187,1.000000,0.723813,0.200195,0.631672,0.996212
